country,year,gdp_billions
United Kingdom,2017,2682.384
United States,2017,19612.1
Germany,2017,3764.023
Austria,2017,414.78
Belgium,2017,500.733
Italy,2017,1970.027
Denmark,2017,331.611
France,2017,2587.955
Netherlands,2017,847.934
Luxembourg,2017,65.689
"San Marino, Republic Of",2017,1.528
Switzerland,2017,695.507
Sweden,2017,535.172
Norway,2017,401.745
Finland,2017,253.757
"Liechtenstein, Principality Of",2017,6.474
Canada,2017,1649.266
Japan,2017,4930.837
"Andorra, Principality Of",2017,2.993
Spain,2017,1321.288
Malta,2017,14.156
Greece,2017,200.31
Iceland,2017,25.06
Ireland,2017,348.232
Portugal,2017,220.785
Argentina,2017,643.861
New Zealand,2017,203.819
Australia,2017,1381.106
"Tã¼Rkiye, Republic Of",2017,863.906
South Africa,2017,381.317
Colombia,2017,311.889
Bolivia,2017,37.782
Brazil,2017,2063.519
Costa Rica,2017,60.517
Chile,2017,276.357
Ecuador,2017,104.467
Dominican Republic,2017,79.153
El Salvador,2017,24.979
Mexico,2017,1190.721
Panama,2017,64.49
Haiti,2017,15.036
Honduras,2017,23.138
Guatemala,2017,71.624
Nicaragua,2017,13.786
Uruguay,2017,65.068
"Venezuela, Repãºblica Bolivariana De",2017,115.883
Peru,2017,219.525
Paraguay,2017,38.997
Dominica,2017,0.522
"Bahamas, The",2017,12.447
"Aruba, Kingdom Of The Netherlands",2017,3.092
Antigua And Barbuda,2017,1.535
Jamaica,2017,15.726
Belize,2017,2.266
Barbados,2017,5.517
Grenada,2017,1.126
St. Kitts And Nevis,2017,1.057
Guyana,2017,4.748
Puerto Rico,2017,103.446
St. Vincent And The Grenadines,2017,0.844
St. Lucia,2017,1.999
Suriname,2017,3.592
Trinidad And Tobago,2017,23.831
Iraq,2017,190.048
"Iran, Islamic Republic Of",2017,507.8
"Bahrain, Kingdom Of",2017,37.205
Cyprus,2017,22.938
Oman,2017,80.857
Kuwait,2017,120.688
Jordan,2017,41.667
Israel,2017,357.361
Qatar,2017,161.099
Lebanon,2017,53.03
United Arab Emirates,2017,403.365
"Egypt, Arab Republic Of",2017,246.826
Saudi Arabia,2017,741.266
"Afghanistan, Islamic Republic Of",2017,18.883
"Yemen, Republic Of",2017,26.842
West Bank And Gaza,2017,16.128
Bangladesh,2017,293.755
Bhutan,2017,2.462
Cambodia,2017,29.394
Myanmar,2017,66.083
Brunei Darussalam,2017,12.128
Indonesia,2017,1015.619
Taiwan Province Of China,2017,591.687
"Hong Kong Special Administrative Region, People'S Republic Of China",2017,341.271
Sri Lanka,2017,94.376
Malaysia,2017,319.109
Lao People'S Democratic Republic,2017,17.055
"Macao Special Administrative Region, People'S Republic Of China",2017,50.384
"Korea, Republic Of",2017,1710.197
"Timor-Leste, Democratic Republic Of",2017,1.585
India,2017,2651.474
Singapore,2017,343.673
Philippines,2017,328.481
Maldives,2017,4.809
Nepal,2017,28.972
Pakistan,2017,339.229
"Palau, Republic Of",2017,0.29
Thailand,2017,456.357
Djibouti,2017,2.763
Vietnam,2017,277.071
Botswana,2017,16.105
Angola,2017,139.835
Algeria,2017,190.004
Central African Republic,2017,2.198
Cameroon,2017,36.086
Burundi,2017,3.172
Cabo Verde,2017,1.997
"Congo, Democratic Republic Of The",2017,39.461
"Congo, Republic Of",2017,11.83
Chad,2017,13.258
"Comoros, Union Of The",2017,1.077
"Eritrea, The State Of",2017,1.904
Benin,2017,12.766
"Equatorial Guinea, Republic Of",2017,12.197
Guinea-Bissau,2017,1.469
"Ethiopia, The Federal Democratic Republic Of",2017,76.841
"Gambia, The",2017,1.498
Gabon,2017,14.924
Guinea,2017,10.325
Ghana,2017,60.385
Malawi,2017,8.943
Kenya,2017,81.965
Cã´Te D'Ivoire,2017,52.512
Liberia,2017,3.321
"Lesotho, Kingdom Of",2017,2.424
"Mauritania, Islamic Republic Of",2017,6.826
Mali,2017,15.36
"Madagascar, Republic Of",2017,13.176
Libya,2017,67.153
