country,year,inflation,month
Austria,2017,2.228,1
Austria,2017,2.228,2
Austria,2017,2.228,3
Austria,2017,2.228,4
Austria,2017,2.228,5
Austria,2017,2.228,6
Austria,2017,2.228,7
Austria,2017,2.228,8
Austria,2017,2.228,9
Austria,2017,2.228,10
Austria,2017,2.228,11
Austria,2017,2.228,12
United States,2017,2.131,1
United States,2017,2.131,2
United States,2017,2.131,3
United States,2017,2.131,4
United States,2017,2.131,5
United States,2017,2.131,6
United States,2017,2.131,7
United States,2017,2.131,8
United States,2017,2.131,9
United States,2017,2.131,10
United States,2017,2.131,11
United States,2017,2.131,12
United Kingdom,2017,2.683,1
United Kingdom,2017,2.683,2
United Kingdom,2017,2.683,3
United Kingdom,2017,2.683,4
United Kingdom,2017,2.683,5
United Kingdom,2017,2.683,6
United Kingdom,2017,2.683,7
United Kingdom,2017,2.683,8
United Kingdom,2017,2.683,9
United Kingdom,2017,2.683,10
United Kingdom,2017,2.683,11
United Kingdom,2017,2.683,12
Germany,2017,1.702,1
Germany,2017,1.702,2
Germany,2017,1.702,3
Germany,2017,1.702,4
Germany,2017,1.702,5
Germany,2017,1.702,6
Germany,2017,1.702,7
Germany,2017,1.702,8
Germany,2017,1.702,9
Germany,2017,1.702,10
Germany,2017,1.702,11
Germany,2017,1.702,12
Belgium,2017,2.225,1
Belgium,2017,2.225,2
Belgium,2017,2.225,3
Belgium,2017,2.225,4
Belgium,2017,2.225,5
Belgium,2017,2.225,6
Belgium,2017,2.225,7
Belgium,2017,2.225,8
Belgium,2017,2.225,9
Belgium,2017,2.225,10
Belgium,2017,2.225,11
Belgium,2017,2.225,12
Denmark,2017,1.058,1
Denmark,2017,1.058,2
Denmark,2017,1.058,3
Denmark,2017,1.058,4
Denmark,2017,1.058,5
Denmark,2017,1.058,6
Denmark,2017,1.058,7
Denmark,2017,1.058,8
Denmark,2017,1.058,9
Denmark,2017,1.058,10
Denmark,2017,1.058,11
Denmark,2017,1.058,12
France,2017,1.166,1
France,2017,1.166,2
France,2017,1.166,3
France,2017,1.166,4
France,2017,1.166,5
France,2017,1.166,6
France,2017,1.166,7
France,2017,1.166,8
France,2017,1.166,9
France,2017,1.166,10
France,2017,1.166,11
France,2017,1.166,12
Norway,2017,1.875,1
Norway,2017,1.875,2
Norway,2017,1.875,3
Norway,2017,1.875,4
Norway,2017,1.875,5
Norway,2017,1.875,6
Norway,2017,1.875,7
Norway,2017,1.875,8
Norway,2017,1.875,9
Norway,2017,1.875,10
Norway,2017,1.875,11
Norway,2017,1.875,12
Luxembourg,2017,2.113,1
Luxembourg,2017,2.113,2
Luxembourg,2017,2.113,3
Luxembourg,2017,2.113,4
Luxembourg,2017,2.113,5
Luxembourg,2017,2.113,6
Luxembourg,2017,2.113,7
Luxembourg,2017,2.113,8
Luxembourg,2017,2.113,9
Luxembourg,2017,2.113,10
Luxembourg,2017,2.113,11
Luxembourg,2017,2.113,12
Italy,2017,1.326,1
Italy,2017,1.326,2
Italy,2017,1.326,3
Italy,2017,1.326,4
Italy,2017,1.326,5
Italy,2017,1.326,6
Italy,2017,1.326,7
Italy,2017,1.326,8
Italy,2017,1.326,9
Italy,2017,1.326,10
Italy,2017,1.326,11
Italy,2017,1.326,12
"San Marino, Republic Of",2017,1.014,1
"San Marino, Republic Of",2017,1.014,2
"San Marino, Republic Of",2017,1.014,3
"San Marino, Republic Of",2017,1.014,4
"San Marino, Republic Of",2017,1.014,5
"San Marino, Republic Of",2017,1.014,6
"San Marino, Republic Of",2017,1.014,7
"San Marino, Republic Of",2017,1.014,8
"San Marino, Republic Of",2017,1.014,9
"San Marino, Republic Of",2017,1.014,10
"San Marino, Republic Of",2017,1.014,11
"San Marino, Republic Of",2017,1.014,12
Sweden,2017,1.867,1
Sweden,2017,1.867,2
Sweden,2017,1.867,3
Sweden,2017,1.867,4
Sweden,2017,1.867,5
Sweden,2017,1.867,6
Sweden,2017,1.867,7
Sweden,2017,1.867,8
Sweden,2017,1.867,9
Sweden,2017,1.867,10
Sweden,2017,1.867,11
Sweden,2017,1.867,12
"Liechtenstein, Principality Of",2017,0.535,1
"Liechtenstein, Principality Of",2017,0.535,2
"Liechtenstein, Principality Of",2017,0.535,3
"Liechtenstein, Principality Of",2017,0.535,4
"Liechtenstein, Principality Of",2017,0.535,5
"Liechtenstein, Principality Of",2017,0.535,6
"Liechtenstein, Principality Of",2017,0.535,7
"Liechtenstein, Principality Of",2017,0.535,8
"Liechtenstein, Principality Of",2017,0.535,9
"Liechtenstein, Principality Of",2017,0.535,10
"Liechtenstein, Principality Of",2017,0.535,11
"Liechtenstein, Principality Of",2017,0.535,12
Canada,2017,1.597,1
Canada,2017,1.597,2
Canada,2017,1.597,3
Canada,2017,1.597,4
Canada,2017,1.597,5
Canada,2017,1.597,6
Canada,2017,1.597,7
Canada,2017,1.597,8
Canada,2017,1.597,9
Canada,2017,1.597,10
Canada,2017,1.597,11
Canada,2017,1.597,12
Switzerland,2017,0.535,1
Switzerland,2017,0.535,2
Switzerland,2017,0.535,3
Switzerland,2017,0.535,4
Switzerland,2017,0.535,5
Switzerland,2017,0.535,6
Switzerland,2017,0.535,7
Switzerland,2017,0.535,8
Switzerland,2017,0.535,9
Switzerland,2017,0.535,10
Switzerland,2017,0.535,11
Switzerland,2017,0.535,12
Japan,2017,0.487,1
Japan,2017,0.487,2
Japan,2017,0.487,3
Japan,2017,0.487,4
Japan,2017,0.487,5
Japan,2017,0.487,6
Japan,2017,0.487,7
Japan,2017,0.487,8
Japan,2017,0.487,9
Japan,2017,0.487,10
Japan,2017,0.487,11
Japan,2017,0.487,12
"Andorra, Principality Of",2017,2.586,1
"Andorra, Principality Of",2017,2.586,2
"Andorra, Principality Of",2017,2.586,3
"Andorra, Principality Of",2017,2.586,4
"Andorra, Principality Of",2017,2.586,5
"Andorra, Principality Of",2017,2.586,6
"Andorra, Principality Of",2017,2.586,7
"Andorra, Principality Of",2017,2.586,8
"Andorra, Principality Of",2017,2.586,9
"Andorra, Principality Of",2017,2.586,10
"Andorra, Principality Of",2017,2.586,11
"Andorra, Principality Of",2017,2.586,12
Ireland,2017,0.259,1
Ireland,2017,0.259,2
Ireland,2017,0.259,3
Ireland,2017,0.259,4
Ireland,2017,0.259,5
Ireland,2017,0.259,6
Ireland,2017,0.259,7
Ireland,2017,0.259,8
Ireland,2017,0.259,9
Ireland,2017,0.259,10
Ireland,2017,0.259,11
Ireland,2017,0.259,12
Greece,2017,1.138,1
Greece,2017,1.138,2
Greece,2017,1.138,3
Greece,2017,1.138,4
Greece,2017,1.138,5
Greece,2017,1.138,6
Greece,2017,1.138,7
Greece,2017,1.138,8
Greece,2017,1.138,9
Greece,2017,1.138,10
Greece,2017,1.138,11
Greece,2017,1.138,12
Iceland,2017,1.768,1
Iceland,2017,1.768,2
Iceland,2017,1.768,3
Iceland,2017,1.768,4
Iceland,2017,1.768,5
Iceland,2017,1.768,6
Iceland,2017,1.768,7
Iceland,2017,1.768,8
Iceland,2017,1.768,9
Iceland,2017,1.768,10
Iceland,2017,1.768,11
Iceland,2017,1.768,12
Finland,2017,0.839,1
Finland,2017,0.839,2
Finland,2017,0.839,3
Finland,2017,0.839,4
Finland,2017,0.839,5
Finland,2017,0.839,6
Finland,2017,0.839,7
Finland,2017,0.839,8
Finland,2017,0.839,9
Finland,2017,0.839,10
Finland,2017,0.839,11
Finland,2017,0.839,12
"Türkiye, Republic Of",2017,11.144,1
"Türkiye, Republic Of",2017,11.144,2
"Türkiye, Republic Of",2017,11.144,3
"Türkiye, Republic Of",2017,11.144,4
"Türkiye, Republic Of",2017,11.144,5
"Türkiye, Republic Of",2017,11.144,6
"Türkiye, Republic Of",2017,11.144,7
"Türkiye, Republic Of",2017,11.144,8
"Türkiye, Republic Of",2017,11.144,9
"Türkiye, Republic Of",2017,11.144,10
"Türkiye, Republic Of",2017,11.144,11
"Türkiye, Republic Of",2017,11.144,12
Portugal,2017,1.556,1
Portugal,2017,1.556,2
Portugal,2017,1.556,3
Portugal,2017,1.556,4
Portugal,2017,1.556,5
