trade_name,imf_name
Burma,Myanmar
China,"China, People'S Republic Of"
"Korea, South","Korea, Republic Of"
Bahamas,"Bahamas, The"
Brunei,Brunei Darussalam
Hong Kong,"Hong Kong Special Administrative Region, People'S Republic Of China"
Macau,"Macao Special Administrative Region, People'S Republic Of China"
Gambia,"Gambia, The"
Eswatini,"Eswatini, Kingdom Of"
Democratic Republic Of The Congo,"Congo, Democratic Republic Of The"
Cote D'Ivoire,Cã´Te D'Ivoire
Curacao,"Curaã§Ao, Kingdom Of The Netherlands"
Congo,"Congo, Republic Of"
Afghanistan,"Afghanistan, Islamic Republic Of"
Andorra,"Andorra, Principality Of"
Anguilla,"Anguilla, United Kingdom-British Overseas Territory"
Armenia,"Armenia, Republic Of"
Aruba,"Aruba, Kingdom Of The Netherlands"
Azerbaijan,"Azerbaijan, Republic Of"
Bahrain,"Bahrain, Kingdom Of"
Belarus,"Belarus, Republic Of"
Comoros,"Comoros, Union Of The"
Egypt,"Egypt, Arab Republic Of"
Equatorial Guinea,"Equatorial Guinea, Republic Of"
Eritrea,"Eritrea, The State Of"
Ethiopia,"Ethiopia, The Federal Democratic Republic Of"
Fiji,"Fiji, Republic Of"
Iran,"Iran, Islamic Republic Of"
Kazakhstan,"Kazakhstan, Republic Of"
Moldova,"Moldova, Republic Of"
Serbia,"Serbia, Republic Of"
South Sudan,"South Sudan, Republic Of"
Syria,Syrian Arab Republic
Tanzania,"Tanzania, United Republic Of"
Yemen,"Yemen, Republic Of"
Micronesia,"Micronesia, Federated States Of"
Kosovo,"Kosovo, Republic Of"
Lesotho,"Lesotho, Kingdom Of"
Madagascar,"Madagascar, Republic Of"
Mauritania,"Mauritania, Islamic Republic Of"
Mozambique,"Mozambique, Republic Of"
Tajikistan,"Tajikistan, Republic Of"
Uzbekistan,"Uzbekistan, Republic Of"
Laos,Lao People'S Democratic Republic
Libya,Libya
Somalia,Somalia
Timor-Leste,"Timor-Leste, Democratic Republic Of"
Venezuela,"Venezuela, Repãºblica Bolivariana De"
Vietnam,Vietnam
Zambia,Zambia
Zimbabwe,Zimbabwe
Bolivia,Bolivia
Cabo Verde,Cabo Verde
Malawi,Malawi
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Suriname,Suriname
Tonga,Tonga
Liechtenstein,"Liechtenstein, Principality Of"
Macedonia,"North Macedonia, Republic Of"
Montserrat,"Montserrat, United Kingdom-British Overseas Territory"
Nauru,"Nauru, Republic Of"
Palau,"Palau, Republic Of"
Poland,"Poland, Republic Of"
Russia,Russian Federation
San Marino,"San Marino, Republic Of"
Sint Maarten,"Sint Maarten, Kingdom Of The Netherlands"
Taiwan,Taiwan Province Of China
Kyrgyzstan,Kyrgyz Republic
Turkey,"Tã¼Rkiye, Republic Of"
St Kitts And Nevis,St. Kitts And Nevis
St Lucia,St. Lucia
St Vincent And The Grenadines,St. Vincent And The Grenadines
Sao Tome And Principe,"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of"
