country,distance_km,log_distance
Canada,733,6.597145701886651
Dominican Republic,2372,7.771488760117616
Mexico,3032,8.016977746762262
Colombia,3814,8.246433786160365
Ireland,5442,8.601901919343192
United Kingdom,5898,8.682368589375221
Spain,6088,8.714074899541522
France,6165,8.726643415598444
Netherlands,6190,8.730690365678642
Belgium,6216,8.734881892047483
Switzerland,6598,8.794521851788527
Germany,6710,8.811354229965728
Brazil,6796,8.824089482791823
Italy,7217,8.884194633072273
Chile,8073,8.996280439395015
Turkey,8724,9.07383312732152
Israel,9496,9.158625936289503
Saudi Arabia,10837,9.290721483922995
Japan,10906,9.297068375486006
China,11146,9.318835968129482
"Korea, South",11164,9.320449594656212
United Arab Emirates,11346,9.336620537886512
India,12046,9.396487933603666
Taiwan,12647,9.445175311879977
Hong Kong,13108,9.480978009818704
Vietnam,13344,9.498822124598528
Thailand,14154,9.55775254863573
Malaysia,15338,9.638088688324805
Singapore,15538,9.651043915510366
Australia,15944,9.676837861892631
